Country;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09
Austria;2,74;2,77;2,62;2,91;2,86;3,15;2,98;2,98;2,94;3,01;3,03;3,02
Belgium;2,84;2,92;2,8;3,1;3,01;3,32;3,14;3,14;3,09;3,21;3,23;3,26
Bulgaria;3,93;3,93;3,93;3,93;3,93;3,93;3,93;3,93;3,93;3,93;3,93;3,93
Croatia;3,32;3,2;3,09;2,98;2,99;3,05;3,05;3,04;3,04;3,05;2,98;2,88
Cyprus;2,91;2,94;2,81;3,05;2,89;3,1;2,9;2,88;2,86;2,9;2,92;2,95
Czech Republic;3,98;4,1;4,13;4,2;4,06;4,26;4,09;4,16;4,23;4,3;4,35;4,42
Denmark;2,1;2,07;1,91;2,21;2,17;2,45;2,31;2,31;2,34;2,37;2,37;2,36
Estonia;3,41;3,51;3,43;3,5;3,25;3,51;3,41;3,32;3,2;3,23;3,22;3,27
Finland;2,75;2,81;2,65;2,95;2,82;3,12;2,94;2,95;2,9;3,07;3,09;3,09
France;2,99;3,09;3,01;3,32;3,15;3,43;3,26;3,26;3,24;3,36;3,42;3,51
Germany;2,23;2,31;2,18;2,48;2,41;2,74;2,51;2,56;2,52;2,63;2,67;2,69
Greece;3,16;3,19;3,05;3,35;3,29;3,6;3,44;3,37;3,29;3,36;3,37;3,39
Hungary;6,57;6,63;6,44;6,82;6,67;7,04;6,99;6,95;7,08;7,02;7,03;6,96
Ireland;2,59;2,63;2,49;2,79;2,72;3,05;2,9;2,89;2,85;2,92;2,94;2,95
Italy;3,5;3,57;3,32;3,68;3,58;3,89;3,71;3,63;3,5;3,54;3,54;3,56
Latvia;3,1;3,09;3,04;3,21;3,14;3,37;3,36;3,3;3,25;3,17;3,17;3,18
Lithuania;2,88;2,88;2,88;2,88;2,88;2,88;2,88;2,88;2,88;2,88;2,88;2,88
Luxembourg;2,65;2,72;2,64;2,9;2,76;3,04;2,87;2,88;2,88;2,92;2,89;2,93
Malta;3,21;3,25;3,07;3,35;3,26;3,53;3,37;3,43;3,37;3,5;3,54;3,55
Netherlands;2,53;2,57;2,45;2,73;2,63;2,94;2,71;2,8;2,76;2,84;2,88;2,88
Poland;5,6;5,66;5,73;5,94;5,83;5,86;5,3;5,41;5,53;5,34;5,4;5,47
Portugal;2,73;2,79;2,68;2,96;2,95;3,29;3,11;3,08;3,02;3,11;3,12;3,13
Romania;6,36;6,6;6,81;7,07;6,83;6,33;6,63;6,83;7,37;7,13;7,17;7,29
Slovakia;3,33;3,33;3,22;3,43;3,22;3,51;3,49;3,49;3,43;3,43;3,45;3,48
Slovenia;2,97;3,06;2,89;3,1;2,93;3,28;3,1;3,06;3,02;3,04;3,17;3,19
Spain;2,96;3,05;2,89;3,17;3,1;3,39;3,23;3,2;3,16;3,24;3,26;3,26
Sweden;2,04;2,07;2,1;2,32;2,26;2,6;2,42;2,4;2,31;2,36;2,43;2,56
